Period,Metric,Value,Ticker,Frequency
2021-09-30,Basic EPS,,AAPL,annual
2021-09-30,Cost Of Revenue,,AAPL,annual
2021-09-30,EBITDA,,AAPL,annual
2021-09-30,Gross Profit,,AAPL,annual
2021-09-30,Net Income,,AAPL,annual
2021-09-30,Operating Expense,,AAPL,annual
2021-09-30,Operating Income,,AAPL,annual
2021-09-30,Total Revenue,,AAPL,annual
2022-09-30,Basic EPS,6.15,AAPL,annual
2022-09-30,Cost Of Revenue,223546000000.0,AAPL,annual
2022-09-30,EBITDA,130541000000.0,AAPL,annual
2022-09-30,Gross Profit,170782000000.0,AAPL,annual
2022-09-30,Net Income,99803000000.0,AAPL,annual
2022-09-30,Operating Expense,51345000000.0,AAPL,annual
2022-09-30,Operating Income,119437000000.0,AAPL,annual
2022-09-30,Total Revenue,394328000000.0,AAPL,annual
2023-09-30,Basic EPS,6.16,AAPL,annual
2023-09-30,Cost Of Revenue,214137000000.0,AAPL,annual
2023-09-30,EBITDA,125820000000.0,AAPL,annual
2023-09-30,Gross Profit,169148000000.0,AAPL,annual
2023-09-30,Net Income,96995000000.0,AAPL,annual
2023-09-30,Operating Expense,54847000000.0,AAPL,annual
2023-09-30,Operating Income,114301000000.0,AAPL,annual
2023-09-30,Total Revenue,383285000000.0,AAPL,annual
2024-09-30,Basic EPS,6.11,AAPL,annual
2024-09-30,Cost Of Revenue,210352000000.0,AAPL,annual
2024-09-30,EBITDA,134661000000.0,AAPL,annual
2024-09-30,Gross Profit,180683000000.0,AAPL,annual
2024-09-30,Net Income,93736000000.0,AAPL,annual
2024-09-30,Operating Expense,57467000000.0,AAPL,annual
2024-09-30,Operating Income,123216000000.0,AAPL,annual
2024-09-30,Total Revenue,391035000000.0,AAPL,annual
2025-03-31,Basic EPS,1.65,AAPL,quarterly
2025-03-31,Cost Of Revenue,50492000000.0,AAPL,quarterly
2025-03-31,EBITDA,32250000000.0,AAPL,quarterly
2025-03-31,Gross Profit,44867000000.0,AAPL,quarterly
2025-03-31,Net Income,24780000000.0,AAPL,quarterly
2025-03-31,Operating Expense,15278000000.0,AAPL,quarterly
2025-03-31,Operating Income,29589000000.0,AAPL,quarterly
2025-03-31,Total Revenue,95359000000.0,AAPL,quarterly
2025-06-30,Basic EPS,1.57,AAPL,quarterly
2025-06-30,Cost Of Revenue,50318000000.0,AAPL,quarterly
2025-06-30,EBITDA,31032000000.0,AAPL,quarterly
2025-06-30,Gross Profit,43718000000.0,AAPL,quarterly
2025-06-30,Net Income,23434000000.0,AAPL,quarterly
2025-06-30,Operating Expense,15516000000.0,AAPL,quarterly
2025-06-30,Operating Income,28202000000.0,AAPL,quarterly
2025-06-30,Total Revenue,94036000000.0,AAPL,quarterly
2025-09-30,Basic EPS,7.49,AAPL,annual
2025-09-30,Basic EPS,1.85,AAPL,quarterly
2025-09-30,Cost Of Revenue,220960000000.0,AAPL,annual
2025-09-30,Cost Of Revenue,54125000000.0,AAPL,quarterly
2025-09-30,EBITDA,144748000000.0,AAPL,annual
2025-09-30,EBITDA,35554000000.0,AAPL,quarterly
2025-09-30,Gross Profit,195201000000.0,AAPL,annual
2025-09-30,Gross Profit,48341000000.0,AAPL,quarterly
2025-09-30,Net Income,112010000000.0,AAPL,annual
2025-09-30,Net Income,27466000000.0,AAPL,quarterly
2025-09-30,Operating Expense,62151000000.0,AAPL,annual
2025-09-30,Operating Expense,15914000000.0,AAPL,quarterly
2025-09-30,Operating Income,133050000000.0,AAPL,annual
2025-09-30,Operating Income,32427000000.0,AAPL,quarterly
2025-09-30,Total Revenue,416161000000.0,AAPL,annual
2025-09-30,Total Revenue,102466000000.0,AAPL,quarterly
2025-12-31,Basic EPS,2.85,AAPL,quarterly
2025-12-31,Cost Of Revenue,74525000000.0,AAPL,quarterly
2025-12-31,EBITDA,54066000000.0,AAPL,quarterly
2025-12-31,Gross Profit,69231000000.0,AAPL,quarterly
2025-12-31,Net Income,42097000000.0,AAPL,quarterly
2025-12-31,Operating Expense,18379000000.0,AAPL,quarterly
2025-12-31,Operating Income,50852000000.0,AAPL,quarterly
2025-12-31,Total Revenue,143756000000.0,AAPL,quarterly
2026-03-31,Basic EPS,2.02,AAPL,quarterly
2026-03-31,Cost Of Revenue,56403000000.0,AAPL,quarterly
2026-03-31,EBITDA,39324000000.0,AAPL,quarterly
2026-03-31,Gross Profit,54781000000.0,AAPL,quarterly
2026-03-31,Net Income,29578000000.0,AAPL,quarterly
2026-03-31,Operating Expense,18896000000.0,AAPL,quarterly
2026-03-31,Operating Income,35885000000.0,AAPL,quarterly
2026-03-31,Total Revenue,111184000000.0,AAPL,quarterly
2022-12-31,Basic EPS,-0.447253,ALAB,annual
2022-12-31,Cost Of Revenue,21191000.0,ALAB,annual
2022-12-31,EBITDA,-59387000.0,ALAB,annual
2022-12-31,Gross Profit,58681000.0,ALAB,annual
2022-12-31,Net Income,-58345000.0,ALAB,annual
2022-12-31,Operating Expense,118875000.0,ALAB,annual
2022-12-31,Operating Income,-60194000.0,ALAB,annual
2022-12-31,Total Revenue,79872000.0,ALAB,annual
2023-12-31,Basic EPS,-0.172174,ALAB,annual
2023-12-31,Cost Of Revenue,35967000.0,ALAB,annual
2023-12-31,EBITDA,-27716000.0,ALAB,annual
2023-12-31,Gross Profit,79827000.0,ALAB,annual
2023-12-31,Net Income,-26257000.0,ALAB,annual
2023-12-31,Operating Expense,109324000.0,ALAB,annual
2023-12-31,Operating Income,-29497000.0,ALAB,annual
2023-12-31,Total Revenue,115794000.0,ALAB,annual
2024-12-31,Basic EPS,-0.64,ALAB,annual
2024-12-31,Basic EPS,0.15,ALAB,quarterly
2024-12-31,Cost Of Revenue,93591000.0,ALAB,annual
2024-12-31,Cost Of Revenue,36648000.0,ALAB,quarterly
2024-12-31,EBITDA,-112912000.0,ALAB,annual
2024-12-31,EBITDA,1118000.0,ALAB,quarterly
2024-12-31,Gross Profit,302699000.0,ALAB,annual
2024-12-31,Gross Profit,104448000.0,ALAB,quarterly
2024-12-31,Net Income,-83421000.0,ALAB,annual
2024-12-31,Net Income,24713000.0,ALAB,quarterly
2024-12-31,Operating Expense,418765000.0,ALAB,annual
2024-12-31,Operating Expense,104304000.0,ALAB,quarterly
2024-12-31,Operating Income,-116066000.0,ALAB,annual
2024-12-31,Operating Income,144000.0,ALAB,quarterly
2024-12-31,Total Revenue,396290000.0,ALAB,annual
2024-12-31,Total Revenue,141096000.0,ALAB,quarterly
2025-03-31,Basic EPS,0.19,ALAB,quarterly
2025-03-31,Cost Of Revenue,40031000.0,ALAB,quarterly
2025-03-31,EBITDA,12410000.0,ALAB,quarterly
2025-03-31,Gross Profit,119411000.0,ALAB,quarterly
2025-03-31,Net Income,31819000.0,ALAB,quarterly
2025-03-31,Operating Expense,108126000.0,ALAB,quarterly
2025-03-31,Operating Income,11285000.0,ALAB,quarterly
2025-03-31,Total Revenue,159442000.0,ALAB,quarterly
2025-06-30,Basic EPS,0.31,ALAB,quarterly
2025-06-30,Cost Of Revenue,46362000.0,ALAB,quarterly
2025-06-30,EBITDA,41166000.0,ALAB,quarterly
2025-06-30,Gross Profit,145563000.0,ALAB,quarterly
2025-06-30,Net Income,51219000.0,ALAB,quarterly
2025-06-30,Operating Expense,105789000.0,ALAB,quarterly
2025-06-30,Operating Income,39774000.0,ALAB,quarterly
2025-06-30,Total Revenue,191925000.0,ALAB,quarterly
2025-09-30,Basic EPS,0.54,ALAB,quarterly
2025-09-30,Cost Of Revenue,54763000.0,ALAB,quarterly
2025-09-30,EBITDA,56872000.0,ALAB,quarterly
2025-09-30,Gross Profit,175812000.0,ALAB,quarterly
2025-09-30,Net Income,91114000.0,ALAB,quarterly
2025-09-30,Operating Expense,120406000.0,ALAB,quarterly
2025-09-30,Operating Income,55406000.0,ALAB,quarterly
2025-09-30,Total Revenue,230575000.0,ALAB,quarterly
2025-12-31,Basic EPS,1.32,ALAB,annual
2025-12-31,Basic EPS,0.27,ALAB,quarterly
2025-12-31,Cost Of Revenue,207264000.0,ALAB,annual
2025-12-31,Cost Of Revenue,66108000.0,ALAB,quarterly
2025-12-31,EBITDA,180252000.0,ALAB,annual
2025-12-31,EBITDA,69804000.0,ALAB,quarterly
2025-12-31,Gross Profit,645261000.0,ALAB,annual
2025-12-31,Gross Profit,204475000.0,ALAB,quarterly
2025-12-31,Net Income,219134000.0,ALAB,annual
2025-12-31,Net Income,44982000.0,ALAB,quarterly
2025-12-31,Operating Expense,471838000.0,ALAB,annual
2025-12-31,Operating Expense,137517000.0,ALAB,quarterly
2025-12-31,Operating Income,173423000.0,ALAB,annual
2025-12-31,Operating Income,66958000.0,ALAB,quarterly
2025-12-31,Total Revenue,852525000.0,ALAB,annual
2025-12-31,Total Revenue,270583000.0,ALAB,quarterly
2021-12-31,Basic EPS,,AMD,annual
2021-12-31,Cost Of Revenue,,AMD,annual
2021-12-31,EBITDA,,AMD,annual
2021-12-31,Gross Profit,,AMD,annual
2021-12-31,Net Income,,AMD,annual
2021-12-31,Operating Expense,,AMD,annual
2021-12-31,Operating Income,,AMD,annual
2021-12-31,Total Revenue,,AMD,annual
2022-12-31,Basic EPS,0.85,AMD,annual
2022-12-31,Cost Of Revenue,12998000000.0,AMD,annual
2022-12-31,EBITDA,5534000000.0,AMD,annual
2022-12-31,Gross Profit,10603000000.0,AMD,annual
2022-12-31,Net Income,1320000000.0,AMD,annual
2022-12-31,Operating Expense,9339000000.0,AMD,annual
2022-12-31,Operating Income,1264000000.0,AMD,annual
2022-12-31,Total Revenue,23601000000.0,AMD,annual
2023-12-31,Basic EPS,0.53,AMD,annual
2023-12-31,Cost Of Revenue,12220000000.0,AMD,annual
2023-12-31,EBITDA,4051000000.0,AMD,annual
2023-12-31,Gross Profit,10460000000.0,AMD,annual
2023-12-31,Net Income,854000000.0,AMD,annual
2023-12-31,Operating Expense,10059000000.0,AMD,annual
2023-12-31,Operating Income,401000000.0,AMD,annual
2023-12-31,Total Revenue,22680000000.0,AMD,annual
2024-09-30,Basic EPS,,AMD,quarterly
2024-09-30,Cost Of Revenue,,AMD,quarterly
2024-09-30,EBITDA,,AMD,quarterly
2024-09-30,Gross Profit,,AMD,quarterly
2024-09-30,Net Income,,AMD,quarterly
2024-09-30,Operating Expense,,AMD,quarterly
2024-09-30,Operating Income,,AMD,quarterly
2024-09-30,Total Revenue,,AMD,quarterly
2024-12-31,Basic EPS,1.01,AMD,annual
2024-12-31,Basic EPS,0.3,AMD,quarterly
2024-12-31,Cost Of Revenue,13060000000.0,AMD,annual
2024-12-31,Cost Of Revenue,3776000000.0,AMD,quarterly
2024-12-31,EBITDA,5145000000.0,AMD,annual
2024-12-31,EBITDA,1694000000.0,AMD,quarterly
2024-12-31,Gross Profit,12725000000.0,AMD,annual
2024-12-31,Gross Profit,3882000000.0,AMD,quarterly
2024-12-31,Net Income,1641000000.0,AMD,annual
2024-12-31,Net Income,482000000.0,AMD,quarterly
2024-12-31,Operating Expense,10639000000.0,AMD,annual
2024-12-31,Operating Expense,2825000000.0,AMD,quarterly
2024-12-31,Operating Income,2086000000.0,AMD,annual
2024-12-31,Operating Income,1057000000.0,AMD,quarterly
2024-12-31,Total Revenue,25785000000.0,AMD,annual
2024-12-31,Total Revenue,7658000000.0,AMD,quarterly
2025-03-31,Basic EPS,0.44,AMD,quarterly
2025-03-31,Cost Of Revenue,3702000000.0,AMD,quarterly
2025-03-31,EBITDA,1587000000.0,AMD,quarterly
2025-03-31,Gross Profit,3736000000.0,AMD,quarterly
2025-03-31,Net Income,709000000.0,AMD,quarterly
2025-03-31,Operating Expense,2930000000.0,AMD,quarterly
2025-03-31,Operating Income,806000000.0,AMD,quarterly
2025-03-31,Total Revenue,7438000000.0,AMD,quarterly
2025-06-30,Basic EPS,0.54,AMD,quarterly
2025-06-30,Cost Of Revenue,4626000000.0,AMD,quarterly
2025-06-30,EBITDA,721000000.0,AMD,quarterly
2025-06-30,Gross Profit,3059000000.0,AMD,quarterly
2025-06-30,Net Income,872000000.0,AMD,quarterly
2025-06-30,Operating Expense,3193000000.0,AMD,quarterly
2025-06-30,Operating Income,-134000000.0,AMD,quarterly
2025-06-30,Total Revenue,7685000000.0,AMD,quarterly
2025-09-30,Basic EPS,0.76,AMD,quarterly
2025-09-30,Cost Of Revenue,4466000000.0,AMD,quarterly
2025-09-30,EBITDA,2106000000.0,AMD,quarterly
2025-09-30,Gross Profit,4780000000.0,AMD,quarterly
2025-09-30,Net Income,1243000000.0,AMD,quarterly
2025-09-30,Operating Expense,3510000000.0,AMD,quarterly
2025-09-30,Operating Income,1270000000.0,AMD,quarterly
2025-09-30,Total Revenue,9246000000.0,AMD,quarterly
2025-12-31,Basic EPS,2.67,AMD,annual
2025-12-31,Basic EPS,0.93,AMD,quarterly
2025-12-31,Cost Of Revenue,17487000000.0,AMD,annual
2025-12-31,Cost Of Revenue,4693000000.0,AMD,quarterly
2025-12-31,EBITDA,7275000000.0,AMD,annual
2025-12-31,EBITDA,2861000000.0,AMD,quarterly
2025-12-31,Gross Profit,17152000000.0,AMD,annual
2025-12-31,Gross Profit,5577000000.0,AMD,quarterly
2025-12-31,Net Income,4335000000.0,AMD,annual
2025-12-31,Net Income,1511000000.0,AMD,quarterly
2025-12-31,Operating Expense,13458000000.0,AMD,annual
2025-12-31,Operating Expense,3825000000.0,AMD,quarterly
2025-12-31,Operating Income,3694000000.0,AMD,annual
2025-12-31,Operating Income,1752000000.0,AMD,quarterly
2025-12-31,Total Revenue,34639000000.0,AMD,annual
2025-12-31,Total Revenue,10270000000.0,AMD,quarterly
2022-12-31,Basic EPS,-0.27,AMZN,annual
2022-12-31,Cost Of Revenue,288831000000.0,AMZN,annual
2022-12-31,EBITDA,38352000000.0,AMZN,annual
2022-12-31,Gross Profit,225152000000.0,AMZN,annual
2022-12-31,Net Income,-2722000000.0,AMZN,annual
2022-12-31,Operating Expense,212904000000.0,AMZN,annual
2022-12-31,Operating Income,12248000000.0,AMZN,annual
2022-12-31,Total Revenue,513983000000.0,AMZN,annual
2023-12-31,Basic EPS,2.95,AMZN,annual
2023-12-31,Cost Of Revenue,304739000000.0,AMZN,annual
2023-12-31,EBITDA,89402000000.0,AMZN,annual
2023-12-31,Gross Profit,270046000000.0,AMZN,annual
2023-12-31,Net Income,30425000000.0,AMZN,annual
2023-12-31,Operating Expense,233194000000.0,AMZN,annual
2023-12-31,Operating Income,36852000000.0,AMZN,annual
2023-12-31,Total Revenue,574785000000.0,AMZN,annual
2024-12-31,Basic EPS,5.66,AMZN,annual
2024-12-31,Cost Of Revenue,326288000000.0,AMZN,annual
2024-12-31,EBITDA,123815000000.0,AMZN,annual
2024-12-31,Gross Profit,311671000000.0,AMZN,annual
2024-12-31,Net Income,59248000000.0,AMZN,annual
2024-12-31,Operating Expense,243078000000.0,AMZN,annual
2024-12-31,Operating Income,68593000000.0,AMZN,annual
2024-12-31,Total Revenue,637959000000.0,AMZN,annual
2025-03-31,Basic EPS,1.62,AMZN,quarterly
2025-03-31,Cost Of Revenue,76976000000.0,AMZN,quarterly
2025-03-31,EBITDA,36482000000.0,AMZN,quarterly
2025-03-31,Gross Profit,78691000000.0,AMZN,quarterly
2025-03-31,Net Income,17127000000.0,AMZN,quarterly
2025-03-31,Operating Expense,60286000000.0,AMZN,quarterly
2025-03-31,Operating Income,18405000000.0,AMZN,quarterly
2025-03-31,Total Revenue,155667000000.0,AMZN,quarterly
2025-06-30,Basic EPS,1.71,AMZN,quarterly
2025-06-30,Cost Of Revenue,80809000000.0,AMZN,quarterly
2025-06-30,EBITDA,36600000000.0,AMZN,quarterly
2025-06-30,Gross Profit,86893000000.0,AMZN,quarterly
2025-06-30,Net Income,18164000000.0,AMZN,quarterly
2025-06-30,Operating Expense,67722000000.0,AMZN,quarterly
2025-06-30,Operating Income,19171000000.0,AMZN,quarterly
2025-06-30,Total Revenue,167702000000.0,AMZN,quarterly
2025-09-30,Basic EPS,1.98,AMZN,quarterly
2025-09-30,Cost Of Revenue,88670000000.0,AMZN,quarterly
2025-09-30,EBITDA,45504000000.0,AMZN,quarterly
2025-09-30,Gross Profit,91499000000.0,AMZN,quarterly
2025-09-30,Net Income,21187000000.0,AMZN,quarterly
2025-09-30,Operating Expense,74077000000.0,AMZN,quarterly
2025-09-30,Operating Income,17422000000.0,AMZN,quarterly
2025-09-30,Total Revenue,180169000000.0,AMZN,quarterly
2025-12-31,Basic EPS,7.29,AMZN,annual
2025-12-31,Basic EPS,1.98,AMZN,quarterly
2025-12-31,Cost Of Revenue,356414000000.0,AMZN,annual
2025-12-31,Cost Of Revenue,109959000000.0,AMZN,quarterly
2025-12-31,EBITDA,165341000000.0,AMZN,annual
2025-12-31,EBITDA,46755000000.0,AMZN,quarterly
2025-12-31,Gross Profit,360510000000.0,AMZN,annual
2025-12-31,Gross Profit,103427000000.0,AMZN,quarterly
2025-12-31,Net Income,77670000000.0,AMZN,annual
2025-12-31,Net Income,21192000000.0,AMZN,quarterly
2025-12-31,Operating Expense,280535000000.0,AMZN,annual
2025-12-31,Operating Expense,78450000000.0,AMZN,quarterly
2025-12-31,Operating Income,79975000000.0,AMZN,annual
2025-12-31,Operating Income,24977000000.0,AMZN,quarterly
2025-12-31,Total Revenue,716924000000.0,AMZN,annual
2025-12-31,Total Revenue,213386000000.0,AMZN,quarterly
2026-03-31,Basic EPS,2.82,AMZN,quarterly
2026-03-31,Cost Of Revenue,87463000000.0,AMZN,quarterly
2026-03-31,EBITDA,59579000000.0,AMZN,quarterly
2026-03-31,Gross Profit,94056000000.0,AMZN,quarterly
2026-03-31,Net Income,30255000000.0,AMZN,quarterly
2026-03-31,Operating Expense,70204000000.0,AMZN,quarterly
2026-03-31,Operating Income,23852000000.0,AMZN,quarterly
2026-03-31,Total Revenue,181519000000.0,AMZN,quarterly
2022-12-31,Basic EPS,4.59,GOOGL,annual
2022-12-31,Cost Of Revenue,126203000000.0,GOOGL,annual
2022-12-31,EBITDA,85160000000.0,GOOGL,annual
2022-12-31,Gross Profit,156633000000.0,GOOGL,annual
2022-12-31,Net Income,59972000000.0,GOOGL,annual
2022-12-31,Operating Expense,81791000000.0,GOOGL,annual
2022-12-31,Operating Income,74842000000.0,GOOGL,annual
2022-12-31,Total Revenue,282836000000.0,GOOGL,annual
2023-12-31,Basic EPS,5.84,GOOGL,annual
2023-12-31,Cost Of Revenue,133332000000.0,GOOGL,annual
2023-12-31,EBITDA,97971000000.0,GOOGL,annual
2023-12-31,Gross Profit,174062000000.0,GOOGL,annual
2023-12-31,Net Income,73795000000.0,GOOGL,annual
2023-12-31,Operating Expense,89769000000.0,GOOGL,annual
2023-12-31,Operating Income,84293000000.0,GOOGL,annual
2023-12-31,Total Revenue,307394000000.0,GOOGL,annual
2024-12-31,Basic EPS,8.13,GOOGL,annual
2024-12-31,Basic EPS,,GOOGL,quarterly
2024-12-31,Cost Of Revenue,146306000000.0,GOOGL,annual
2024-12-31,Cost Of Revenue,,GOOGL,quarterly
2024-12-31,EBITDA,135394000000.0,GOOGL,annual
2024-12-31,EBITDA,,GOOGL,quarterly
2024-12-31,Gross Profit,203712000000.0,GOOGL,annual
2024-12-31,Gross Profit,,GOOGL,quarterly
2024-12-31,Net Income,100118000000.0,GOOGL,annual
2024-12-31,Net Income,,GOOGL,quarterly
2024-12-31,Operating Expense,91322000000.0,GOOGL,annual
2024-12-31,Operating Expense,,GOOGL,quarterly
2024-12-31,Operating Income,112390000000.0,GOOGL,annual
2024-12-31,Operating Income,,GOOGL,quarterly
2024-12-31,Total Revenue,350018000000.0,GOOGL,annual
2024-12-31,Total Revenue,,GOOGL,quarterly
2025-03-31,Basic EPS,2.84,GOOGL,quarterly
2025-03-31,Cost Of Revenue,36361000000.0,GOOGL,quarterly
2025-03-31,EBITDA,46310000000.0,GOOGL,quarterly
2025-03-31,Gross Profit,53873000000.0,GOOGL,quarterly
2025-03-31,Net Income,34540000000.0,GOOGL,quarterly
2025-03-31,Operating Expense,23267000000.0,GOOGL,quarterly
2025-03-31,Operating Income,30606000000.0,GOOGL,quarterly
2025-03-31,Total Revenue,90234000000.0,GOOGL,quarterly
2025-06-30,Basic EPS,2.33,GOOGL,quarterly
2025-06-30,Cost Of Revenue,39039000000.0,GOOGL,quarterly
2025-06-30,EBITDA,39192000000.0,GOOGL,quarterly
2025-06-30,Gross Profit,57389000000.0,GOOGL,quarterly
2025-06-30,Net Income,28196000000.0,GOOGL,quarterly
2025-06-30,Operating Expense,26118000000.0,GOOGL,quarterly
2025-06-30,Operating Income,31271000000.0,GOOGL,quarterly
2025-06-30,Total Revenue,96428000000.0,GOOGL,quarterly
2025-09-30,Basic EPS,2.89,GOOGL,quarterly
2025-09-30,Cost Of Revenue,41369000000.0,GOOGL,quarterly
2025-09-30,EBITDA,49741000000.0,GOOGL,quarterly
2025-09-30,Gross Profit,60977000000.0,GOOGL,quarterly
2025-09-30,Net Income,34979000000.0,GOOGL,quarterly
2025-09-30,Operating Expense,29749000000.0,GOOGL,quarterly
2025-09-30,Operating Income,31228000000.0,GOOGL,quarterly
2025-09-30,Total Revenue,102346000000.0,GOOGL,quarterly
2025-12-31,Basic EPS,10.91,GOOGL,annual
2025-12-31,Basic EPS,2.85,GOOGL,quarterly
2025-12-31,Cost Of Revenue,162535000000.0,GOOGL,annual
2025-12-31,Cost Of Revenue,45767000000.0,GOOGL,quarterly
2025-12-31,EBITDA,180698000000.0,GOOGL,annual
2025-12-31,EBITDA,45455000000.0,GOOGL,quarterly
2025-12-31,Gross Profit,240301000000.0,GOOGL,annual
2025-12-31,Gross Profit,68062000000.0,GOOGL,quarterly
2025-12-31,Net Income,132170000000.0,GOOGL,annual
2025-12-31,Net Income,34455000000.0,GOOGL,quarterly
2025-12-31,Operating Expense,111262000000.0,GOOGL,annual
2025-12-31,Operating Expense,32128000000.0,GOOGL,quarterly
2025-12-31,Operating Income,129039000000.0,GOOGL,annual
2025-12-31,Operating Income,35934000000.0,GOOGL,quarterly
2025-12-31,Total Revenue,402836000000.0,GOOGL,annual
2025-12-31,Total Revenue,113829000000.0,GOOGL,quarterly
2026-03-31,Basic EPS,5.17,GOOGL,quarterly
2026-03-31,Cost Of Revenue,41271000000.0,GOOGL,quarterly
2026-03-31,EBITDA,84427000000.0,GOOGL,quarterly
2026-03-31,Gross Profit,68625000000.0,GOOGL,quarterly
2026-03-31,Net Income,62578000000.0,GOOGL,quarterly
2026-03-31,Operating Expense,28929000000.0,GOOGL,quarterly
2026-03-31,Operating Income,39696000000.0,GOOGL,quarterly
2026-03-31,Total Revenue,109896000000.0,GOOGL,quarterly
2021-12-31,Basic EPS,,META,annual
2021-12-31,Cost Of Revenue,,META,annual
2021-12-31,EBITDA,,META,annual
2021-12-31,Gross Profit,,META,annual
2021-12-31,Net Income,,META,annual
2021-12-31,Operating Expense,,META,annual
2021-12-31,Operating Income,,META,annual
2021-12-31,Total Revenue,,META,annual
2022-12-31,Basic EPS,8.63,META,annual
2022-12-31,Cost Of Revenue,25249000000.0,META,annual
2022-12-31,EBITDA,37690000000.0,META,annual
2022-12-31,Gross Profit,91360000000.0,META,annual
2022-12-31,Net Income,23200000000.0,META,annual
2022-12-31,Operating Expense,62416000000.0,META,annual
2022-12-31,Operating Income,28944000000.0,META,annual
2022-12-31,Total Revenue,116609000000.0,META,annual
2023-12-31,Basic EPS,15.19,META,annual
2023-12-31,Cost Of Revenue,25959000000.0,META,annual
2023-12-31,EBITDA,59052000000.0,META,annual
2023-12-31,Gross Profit,108943000000.0,META,annual
2023-12-31,Net Income,39098000000.0,META,annual
2023-12-31,Operating Expense,62192000000.0,META,annual
2023-12-31,Operating Income,46751000000.0,META,annual
2023-12-31,Total Revenue,134902000000.0,META,annual
2024-12-31,Basic EPS,24.61,META,annual
2024-12-31,Basic EPS,,META,quarterly
2024-12-31,Cost Of Revenue,30161000000.0,META,annual
2024-12-31,Cost Of Revenue,,META,quarterly
2024-12-31,EBITDA,86876000000.0,META,annual
2024-12-31,EBITDA,,META,quarterly
2024-12-31,Gross Profit,134340000000.0,META,annual
2024-12-31,Gross Profit,,META,quarterly
2024-12-31,Net Income,62360000000.0,META,annual
2024-12-31,Net Income,,META,quarterly
2024-12-31,Operating Expense,64960000000.0,META,annual
2024-12-31,Operating Expense,,META,quarterly
2024-12-31,Operating Income,69380000000.0,META,annual
2024-12-31,Operating Income,,META,quarterly
2024-12-31,Total Revenue,164501000000.0,META,annual
2024-12-31,Total Revenue,,META,quarterly
2025-03-31,Basic EPS,6.59,META,quarterly
2025-03-31,Cost Of Revenue,7572000000.0,META,quarterly
2025-03-31,EBITDA,22522000000.0,META,quarterly
2025-03-31,Gross Profit,34742000000.0,META,quarterly
2025-03-31,Net Income,16644000000.0,META,quarterly
2025-03-31,Operating Expense,17187000000.0,META,quarterly
2025-03-31,Operating Income,17555000000.0,META,quarterly
2025-03-31,Total Revenue,42314000000.0,META,quarterly
2025-06-30,Basic EPS,7.28,META,quarterly
