Period,Metric,Value,Ticker,Frequency
2025-06-30,Cost Of Revenue,8491000000.0,META,quarterly
2025-06-30,EBITDA,25117000000.0,META,quarterly
2025-06-30,Gross Profit,39025000000.0,META,quarterly
2025-06-30,Net Income,18337000000.0,META,quarterly
2025-06-30,Operating Expense,18584000000.0,META,quarterly
2025-06-30,Operating Income,20441000000.0,META,quarterly
2025-06-30,Total Revenue,47516000000.0,META,quarterly
2025-09-30,Basic EPS,1.08,META,quarterly
2025-09-30,Cost Of Revenue,9206000000.0,META,quarterly
2025-09-30,EBITDA,26853000000.0,META,quarterly
2025-09-30,Gross Profit,42036000000.0,META,quarterly
2025-09-30,Net Income,2709000000.0,META,quarterly
2025-09-30,Operating Expense,21501000000.0,META,quarterly
2025-09-30,Operating Income,20535000000.0,META,quarterly
2025-09-30,Total Revenue,51242000000.0,META,quarterly
2025-12-31,Basic EPS,23.98,META,annual
2025-12-31,Basic EPS,9.02,META,quarterly
2025-12-31,Cost Of Revenue,36175000000.0,META,annual
2025-12-31,Cost Of Revenue,10906000000.0,META,quarterly
2025-12-31,EBITDA,105713000000.0,META,annual
2025-12-31,EBITDA,31221000000.0,META,quarterly
2025-12-31,Gross Profit,164791000000.0,META,annual
2025-12-31,Gross Profit,48987000000.0,META,quarterly
2025-12-31,Net Income,60458000000.0,META,annual
2025-12-31,Net Income,22768000000.0,META,quarterly
2025-12-31,Operating Expense,81515000000.0,META,annual
2025-12-31,Operating Expense,24242000000.0,META,quarterly
2025-12-31,Operating Income,83276000000.0,META,annual
2025-12-31,Operating Income,24745000000.0,META,quarterly
2025-12-31,Total Revenue,200966000000.0,META,annual
2025-12-31,Total Revenue,59893000000.0,META,quarterly
2026-03-31,Basic EPS,10.57,META,quarterly
2026-03-31,Cost Of Revenue,10218000000.0,META,quarterly
2026-03-31,EBITDA,28313000000.0,META,quarterly
2026-03-31,Gross Profit,46093000000.0,META,quarterly
2026-03-31,Net Income,26773000000.0,META,quarterly
2026-03-31,Operating Expense,23221000000.0,META,quarterly
2026-03-31,Operating Income,22872000000.0,META,quarterly
2026-03-31,Total Revenue,56311000000.0,META,quarterly
2022-06-30,Basic EPS,9.7,MSFT,annual
2022-06-30,Cost Of Revenue,62650000000.0,MSFT,annual
2022-06-30,EBITDA,100239000000.0,MSFT,annual
2022-06-30,Gross Profit,135620000000.0,MSFT,annual
2022-06-30,Net Income,72738000000.0,MSFT,annual
2022-06-30,Operating Expense,52237000000.0,MSFT,annual
2022-06-30,Operating Income,83383000000.0,MSFT,annual
2022-06-30,Total Revenue,198270000000.0,MSFT,annual
2023-06-30,Basic EPS,9.72,MSFT,annual
2023-06-30,Cost Of Revenue,65863000000.0,MSFT,annual
2023-06-30,EBITDA,105140000000.0,MSFT,annual
2023-06-30,Gross Profit,146052000000.0,MSFT,annual
2023-06-30,Net Income,72361000000.0,MSFT,annual
2023-06-30,Operating Expense,57529000000.0,MSFT,annual
2023-06-30,Operating Income,88523000000.0,MSFT,annual
2023-06-30,Total Revenue,211915000000.0,MSFT,annual
2024-06-30,Basic EPS,11.86,MSFT,annual
2024-06-30,Cost Of Revenue,74114000000.0,MSFT,annual
2024-06-30,EBITDA,133009000000.0,MSFT,annual
2024-06-30,Gross Profit,171008000000.0,MSFT,annual
2024-06-30,Net Income,88136000000.0,MSFT,annual
2024-06-30,Operating Expense,61575000000.0,MSFT,annual
2024-06-30,Operating Income,109433000000.0,MSFT,annual
2024-06-30,Total Revenue,245122000000.0,MSFT,annual
2025-03-31,Basic EPS,3.47,MSFT,quarterly
2025-03-31,Cost Of Revenue,21919000000.0,MSFT,quarterly
2025-03-31,EBITDA,39705000000.0,MSFT,quarterly
2025-03-31,Gross Profit,48147000000.0,MSFT,quarterly
2025-03-31,Net Income,25824000000.0,MSFT,quarterly
2025-03-31,Operating Expense,16147000000.0,MSFT,quarterly
2025-03-31,Operating Income,32000000000.0,MSFT,quarterly
2025-03-31,Total Revenue,70066000000.0,MSFT,quarterly
2025-06-30,Basic EPS,13.7,MSFT,annual
2025-06-30,Basic EPS,3.66,MSFT,quarterly
2025-06-30,Cost Of Revenue,87831000000.0,MSFT,annual
2025-06-30,Cost Of Revenue,24014000000.0,MSFT,quarterly
2025-06-30,EBITDA,160165000000.0,MSFT,annual
2025-06-30,EBITDA,44434000000.0,MSFT,quarterly
2025-06-30,Gross Profit,193893000000.0,MSFT,annual
2025-06-30,Gross Profit,52427000000.0,MSFT,quarterly
2025-06-30,Net Income,101832000000.0,MSFT,annual
2025-06-30,Net Income,27233000000.0,MSFT,quarterly
2025-06-30,Operating Expense,65365000000.0,MSFT,annual
2025-06-30,Operating Expense,18104000000.0,MSFT,quarterly
2025-06-30,Operating Income,128528000000.0,MSFT,annual
2025-06-30,Operating Income,34323000000.0,MSFT,quarterly
2025-06-30,Total Revenue,281724000000.0,MSFT,annual
2025-06-30,Total Revenue,76441000000.0,MSFT,quarterly
2025-09-30,Basic EPS,3.73,MSFT,quarterly
2025-09-30,Cost Of Revenue,24043000000.0,MSFT,quarterly
2025-09-30,EBITDA,48060000000.0,MSFT,quarterly
2025-09-30,Gross Profit,53630000000.0,MSFT,quarterly
2025-09-30,Net Income,27747000000.0,MSFT,quarterly
2025-09-30,Operating Expense,15669000000.0,MSFT,quarterly
2025-09-30,Operating Income,37961000000.0,MSFT,quarterly
2025-09-30,Total Revenue,77673000000.0,MSFT,quarterly
2025-12-31,Basic EPS,5.18,MSFT,quarterly
2025-12-31,Cost Of Revenue,25978000000.0,MSFT,quarterly
2025-12-31,EBITDA,58180000000.0,MSFT,quarterly
2025-12-31,Gross Profit,55295000000.0,MSFT,quarterly
2025-12-31,Net Income,38458000000.0,MSFT,quarterly
2025-12-31,Operating Expense,17020000000.0,MSFT,quarterly
2025-12-31,Operating Income,38275000000.0,MSFT,quarterly
2025-12-31,Total Revenue,81273000000.0,MSFT,quarterly
2026-03-31,Basic EPS,4.28,MSFT,quarterly
2026-03-31,Cost Of Revenue,26828000000.0,MSFT,quarterly
2026-03-31,EBITDA,50285000000.0,MSFT,quarterly
2026-03-31,Gross Profit,56058000000.0,MSFT,quarterly
2026-03-31,Net Income,31778000000.0,MSFT,quarterly
2026-03-31,Operating Expense,17660000000.0,MSFT,quarterly
2026-03-31,Operating Income,38398000000.0,MSFT,quarterly
2026-03-31,Total Revenue,82886000000.0,MSFT,quarterly
2021-12-31,Basic EPS,,MSTR,annual
2021-12-31,Cost Of Revenue,,MSTR,annual
2021-12-31,EBITDA,,MSTR,annual
2021-12-31,Gross Profit,,MSTR,annual
2021-12-31,Net Income,,MSTR,annual
2021-12-31,Operating Expense,,MSTR,annual
2021-12-31,Operating Income,,MSTR,annual
2021-12-31,Total Revenue,,MSTR,annual
2022-12-31,Basic EPS,-12.983,MSTR,annual
2022-12-31,Cost Of Revenue,102989000.0,MSTR,annual
2022-12-31,EBITDA,-1258455000.0,MSTR,annual
2022-12-31,Gross Profit,396275000.0,MSTR,annual
2022-12-31,Net Income,-1469797000.0,MSTR,annual
2022-12-31,Operating Expense,385731000.0,MSTR,annual
2022-12-31,Operating Income,10544000.0,MSTR,annual
2022-12-31,Total Revenue,499264000.0,MSTR,annual
2023-12-31,Basic EPS,3.139,MSTR,annual
2023-12-31,Cost Of Revenue,109944000.0,MSTR,annual
2023-12-31,EBITDA,-61038000.0,MSTR,annual
2023-12-31,Gross Profit,386317000.0,MSTR,annual
2023-12-31,Net Income,429121000.0,MSTR,annual
2023-12-31,Operating Expense,385513000.0,MSTR,annual
2023-12-31,Operating Income,804000.0,MSTR,annual
2023-12-31,Total Revenue,496261000.0,MSTR,annual
2024-09-30,Basic EPS,,MSTR,quarterly
2024-09-30,Cost Of Revenue,,MSTR,quarterly
2024-09-30,EBITDA,,MSTR,quarterly
2024-09-30,Gross Profit,,MSTR,quarterly
2024-09-30,Net Income,,MSTR,quarterly
2024-09-30,Operating Expense,,MSTR,quarterly
2024-09-30,Operating Income,,MSTR,quarterly
2024-09-30,Total Revenue,,MSTR,quarterly
2024-12-31,Basic EPS,-6.06,MSTR,annual
2024-12-31,Basic EPS,,MSTR,quarterly
2024-12-31,Cost Of Revenue,129468000.0,MSTR,annual
2024-12-31,Cost Of Revenue,34169000.0,MSTR,quarterly
2024-12-31,EBITDA,-1854597000.0,MSTR,annual
2024-12-31,EBITDA,-1005141000.0,MSTR,quarterly
2024-12-31,Gross Profit,333988000.0,MSTR,annual
2024-12-31,Gross Profit,86528000.0,MSTR,quarterly
2024-12-31,Net Income,-1166661000.0,MSTR,annual
2024-12-31,Net Income,-670810000.0,MSTR,quarterly
2024-12-31,Operating Expense,397104000.0,MSTR,annual
2024-12-31,Operating Expense,96893000.0,MSTR,quarterly
2024-12-31,Operating Income,-63116000.0,MSTR,annual
2024-12-31,Operating Income,-10365000.0,MSTR,quarterly
2024-12-31,Total Revenue,463456000.0,MSTR,annual
2024-12-31,Total Revenue,120697000.0,MSTR,quarterly
2025-03-31,Basic EPS,-16.49,MSTR,quarterly
2025-03-31,Cost Of Revenue,33971000.0,MSTR,quarterly
2025-03-31,EBITDA,-5918773000.0,MSTR,quarterly
2025-03-31,Gross Profit,77095000.0,MSTR,quarterly
2025-03-31,Net Income,-4217370000.0,MSTR,quarterly
2025-03-31,Operating Expense,92502000.0,MSTR,quarterly
2025-03-31,Operating Income,-15407000.0,MSTR,quarterly
2025-03-31,Total Revenue,111066000.0,MSTR,quarterly
2025-06-30,Basic EPS,36.23,MSTR,quarterly
2025-06-30,Cost Of Revenue,35750000.0,MSTR,quarterly
2025-06-30,EBITDA,14032837000.0,MSTR,quarterly
2025-06-30,Gross Profit,78738000.0,MSTR,quarterly
2025-06-30,Net Income,10020846000.0,MSTR,quarterly
2025-06-30,Operating Expense,94262000.0,MSTR,quarterly
2025-06-30,Operating Income,-15524000.0,MSTR,quarterly
2025-06-30,Total Revenue,114488000.0,MSTR,quarterly
2025-09-30,Basic EPS,9.3,MSTR,quarterly
2025-09-30,Cost Of Revenue,38013000.0,MSTR,quarterly
2025-09-30,EBITDA,3894321000.0,MSTR,quarterly
2025-09-30,Gross Profit,90678000.0,MSTR,quarterly
2025-09-30,Net Income,2785024000.0,MSTR,quarterly
2025-09-30,Operating Expense,90683000.0,MSTR,quarterly
2025-09-30,Operating Income,-5000.0,MSTR,quarterly
2025-09-30,Total Revenue,128691000.0,MSTR,quarterly
2025-12-31,Basic EPS,-15.23,MSTR,annual
2025-12-31,Basic EPS,-42.93,MSTR,quarterly
2025-12-31,Cost Of Revenue,149417000.0,MSTR,annual
2025-12-31,Cost Of Revenue,41683000.0,MSTR,quarterly
2025-12-31,EBITDA,-5435469000.0,MSTR,annual
2025-12-31,EBITDA,-17443854000.0,MSTR,quarterly
2025-12-31,Gross Profit,327816000.0,MSTR,annual
2025-12-31,Gross Profit,81305000.0,MSTR,quarterly
2025-12-31,Net Income,-3848152000.0,MSTR,annual
2025-12-31,Net Income,-12436652000.0,MSTR,quarterly
2025-12-31,Operating Expense,368725000.0,MSTR,annual
2025-12-31,Operating Expense,91278000.0,MSTR,quarterly
2025-12-31,Operating Income,-40909000.0,MSTR,annual
2025-12-31,Operating Income,-9973000.0,MSTR,quarterly
2025-12-31,Total Revenue,477233000.0,MSTR,annual
2025-12-31,Total Revenue,122988000.0,MSTR,quarterly
2026-03-31,Basic EPS,-38.25,MSTR,quarterly
2026-03-31,Cost Of Revenue,,MSTR,quarterly
2026-03-31,EBITDA,,MSTR,quarterly
2026-03-31,Gross Profit,,MSTR,quarterly
2026-03-31,Net Income,,MSTR,quarterly
2026-03-31,Operating Expense,,MSTR,quarterly
2026-03-31,Operating Income,,MSTR,quarterly
2026-03-31,Total Revenue,,MSTR,quarterly
2021-08-31,Basic EPS,,MU,annual
2021-08-31,Cost Of Revenue,,MU,annual
2021-08-31,EBITDA,,MU,annual
2021-08-31,Gross Profit,,MU,annual
2021-08-31,Net Income,,MU,annual
2021-08-31,Operating Expense,,MU,annual
2021-08-31,Operating Income,,MU,annual
2021-08-31,Total Revenue,,MU,annual
2022-08-31,Basic EPS,7.81,MU,annual
2022-08-31,Cost Of Revenue,16860000000.0,MU,annual
2022-08-31,EBITDA,16876000000.0,MU,annual
2022-08-31,Gross Profit,13898000000.0,MU,annual
2022-08-31,Net Income,8687000000.0,MU,annual
2022-08-31,Operating Expense,4189000000.0,MU,annual
2022-08-31,Operating Income,9709000000.0,MU,annual
2022-08-31,Total Revenue,30758000000.0,MU,annual
2023-08-31,Basic EPS,-5.34,MU,annual
2023-08-31,Cost Of Revenue,16956000000.0,MU,annual
2023-08-31,EBITDA,2486000000.0,MU,annual
2023-08-31,Gross Profit,-1416000000.0,MU,annual
2023-08-31,Net Income,-5833000000.0,MU,annual
2023-08-31,Operating Expense,3989000000.0,MU,annual
2023-08-31,Operating Income,-5405000000.0,MU,annual
2023-08-31,Total Revenue,15540000000.0,MU,annual
2024-08-31,Basic EPS,0.7,MU,annual
2024-08-31,Basic EPS,,MU,quarterly
2024-08-31,Cost Of Revenue,19498000000.0,MU,annual
2024-08-31,Cost Of Revenue,,MU,quarterly
2024-08-31,EBITDA,9582000000.0,MU,annual
2024-08-31,EBITDA,,MU,quarterly
2024-08-31,Gross Profit,5613000000.0,MU,annual
2024-08-31,Gross Profit,,MU,quarterly
2024-08-31,Net Income,778000000.0,MU,annual
2024-08-31,Net Income,,MU,quarterly
2024-08-31,Operating Expense,4308000000.0,MU,annual
2024-08-31,Operating Expense,,MU,quarterly
2024-08-31,Operating Income,1305000000.0,MU,annual
2024-08-31,Operating Income,,MU,quarterly
2024-08-31,Total Revenue,25111000000.0,MU,annual
2024-08-31,Total Revenue,,MU,quarterly
2025-02-28,Basic EPS,1.42,MU,quarterly
2025-02-28,Cost Of Revenue,5090000000.0,MU,quarterly
2025-02-28,EBITDA,3949000000.0,MU,quarterly
2025-02-28,Gross Profit,2963000000.0,MU,quarterly
2025-02-28,Net Income,1583000000.0,MU,quarterly
2025-02-28,Operating Expense,1190000000.0,MU,quarterly
2025-02-28,Operating Income,1773000000.0,MU,quarterly
2025-02-28,Total Revenue,8053000000.0,MU,quarterly
2025-05-31,Basic EPS,1.69,MU,quarterly
2025-05-31,Cost Of Revenue,5793000000.0,MU,quarterly
2025-05-31,EBITDA,4330000000.0,MU,quarterly
2025-05-31,Gross Profit,3508000000.0,MU,quarterly
2025-05-31,Net Income,1885000000.0,MU,quarterly
2025-05-31,Operating Expense,1339000000.0,MU,quarterly
2025-05-31,Operating Income,2169000000.0,MU,quarterly
2025-05-31,Total Revenue,9301000000.0,MU,quarterly
2025-08-31,Basic EPS,7.65,MU,annual
2025-08-31,Basic EPS,2.86,MU,quarterly
2025-08-31,Cost Of Revenue,22505000000.0,MU,annual
2025-08-31,Cost Of Revenue,6261000000.0,MU,quarterly
2025-08-31,EBITDA,18483000000.0,MU,annual
2025-08-31,EBITDA,5904000000.0,MU,quarterly
2025-08-31,Gross Profit,14873000000.0,MU,annual
2025-08-31,Gross Profit,5054000000.0,MU,quarterly
2025-08-31,Net Income,8539000000.0,MU,annual
2025-08-31,Net Income,3201000000.0,MU,quarterly
2025-08-31,Operating Expense,5064000000.0,MU,annual
2025-08-31,Operating Expense,1361000000.0,MU,quarterly
2025-08-31,Operating Income,9809000000.0,MU,annual
2025-08-31,Operating Income,3693000000.0,MU,quarterly
2025-08-31,Total Revenue,37378000000.0,MU,annual
2025-08-31,Total Revenue,11315000000.0,MU,quarterly
2025-11-30,Basic EPS,4.66,MU,quarterly
2025-11-30,Cost Of Revenue,5997000000.0,MU,quarterly
2025-11-30,EBITDA,8347000000.0,MU,quarterly
2025-11-30,Gross Profit,7646000000.0,MU,quarterly
2025-11-30,Net Income,5240000000.0,MU,quarterly
2025-11-30,Operating Expense,1510000000.0,MU,quarterly
2025-11-30,Operating Income,6136000000.0,MU,quarterly
2025-11-30,Total Revenue,13643000000.0,MU,quarterly
2026-02-28,Basic EPS,12.25,MU,quarterly
2026-02-28,Cost Of Revenue,6105000000.0,MU,quarterly
2026-02-28,EBITDA,18478000000.0,MU,quarterly
2026-02-28,Gross Profit,17755000000.0,MU,quarterly
2026-02-28,Net Income,13785000000.0,MU,quarterly
2026-02-28,Operating Expense,1620000000.0,MU,quarterly
2026-02-28,Operating Income,16135000000.0,MU,quarterly
2026-02-28,Total Revenue,23860000000.0,MU,quarterly
2022-01-31,Basic EPS,,NVDA,annual
2022-01-31,Cost Of Revenue,,NVDA,annual
2022-01-31,EBITDA,,NVDA,annual
2022-01-31,Gross Profit,,NVDA,annual
2022-01-31,Net Income,,NVDA,annual
2022-01-31,Operating Expense,,NVDA,annual
2022-01-31,Operating Income,,NVDA,annual
2022-01-31,Total Revenue,,NVDA,annual
2023-01-31,Basic EPS,0.176,NVDA,annual
2023-01-31,Cost Of Revenue,11618000000.0,NVDA,annual
2023-01-31,EBITDA,5986000000.0,NVDA,annual
2023-01-31,Gross Profit,15356000000.0,NVDA,annual
2023-01-31,Net Income,4368000000.0,NVDA,annual
2023-01-31,Operating Expense,9779000000.0,NVDA,annual
2023-01-31,Operating Income,5577000000.0,NVDA,annual
2023-01-31,Total Revenue,26974000000.0,NVDA,annual
2024-01-31,Basic EPS,1.21,NVDA,annual
2024-01-31,Cost Of Revenue,16621000000.0,NVDA,annual
2024-01-31,EBITDA,35583000000.0,NVDA,annual
2024-01-31,Gross Profit,44301000000.0,NVDA,annual
2024-01-31,Net Income,29760000000.0,NVDA,annual
2024-01-31,Operating Expense,11329000000.0,NVDA,annual
2024-01-31,Operating Income,32972000000.0,NVDA,annual
2024-01-31,Total Revenue,60922000000.0,NVDA,annual
2025-01-31,Basic EPS,2.97,NVDA,annual
2025-01-31,Basic EPS,0.9,NVDA,quarterly
2025-01-31,Cost Of Revenue,32639000000.0,NVDA,annual
2025-01-31,Cost Of Revenue,10608000000.0,NVDA,quarterly
2025-01-31,EBITDA,86137000000.0,NVDA,annual
2025-01-31,EBITDA,25821000000.0,NVDA,quarterly
2025-01-31,Gross Profit,97858000000.0,NVDA,annual
2025-01-31,Gross Profit,28723000000.0,NVDA,quarterly
2025-01-31,Net Income,72880000000.0,NVDA,annual
2025-01-31,Net Income,22091000000.0,NVDA,quarterly
2025-01-31,Operating Expense,16405000000.0,NVDA,annual
2025-01-31,Operating Expense,4689000000.0,NVDA,quarterly
2025-01-31,Operating Income,81453000000.0,NVDA,annual
2025-01-31,Operating Income,24034000000.0,NVDA,quarterly
2025-01-31,Total Revenue,130497000000.0,NVDA,annual
2025-01-31,Total Revenue,39331000000.0,NVDA,quarterly
2025-04-30,Basic EPS,0.77,NVDA,quarterly
2025-04-30,Cost Of Revenue,17394000000.0,NVDA,quarterly
2025-04-30,EBITDA,22584000000.0,NVDA,quarterly
2025-04-30,Gross Profit,26668000000.0,NVDA,quarterly
2025-04-30,Net Income,18775000000.0,NVDA,quarterly
2025-04-30,Operating Expense,5030000000.0,NVDA,quarterly
2025-04-30,Operating Income,21638000000.0,NVDA,quarterly
2025-04-30,Total Revenue,44062000000.0,NVDA,quarterly
2025-07-31,Basic EPS,1.08,NVDA,quarterly
2025-07-31,Cost Of Revenue,12890000000.0,NVDA,quarterly
2025-07-31,EBITDA,31937000000.0,NVDA,quarterly
2025-07-31,Gross Profit,33853000000.0,NVDA,quarterly
2025-07-31,Net Income,26422000000.0,NVDA,quarterly
2025-07-31,Operating Expense,5413000000.0,NVDA,quarterly
2025-07-31,Operating Income,28440000000.0,NVDA,quarterly
2025-07-31,Total Revenue,46743000000.0,NVDA,quarterly
2025-10-31,Basic EPS,1.31,NVDA,quarterly
2025-10-31,Cost Of Revenue,15157000000.0,NVDA,quarterly
2025-10-31,EBITDA,38748000000.0,NVDA,quarterly
2025-10-31,Gross Profit,41849000000.0,NVDA,quarterly
2025-10-31,Net Income,31910000000.0,NVDA,quarterly
2025-10-31,Operating Expense,5839000000.0,NVDA,quarterly
2025-10-31,Operating Income,36010000000.0,NVDA,quarterly
2025-10-31,Total Revenue,57006000000.0,NVDA,quarterly
2026-01-31,Basic EPS,4.93,NVDA,annual
2026-01-31,Basic EPS,1.77,NVDA,quarterly
2026-01-31,Cost Of Revenue,62475000000.0,NVDA,annual
2026-01-31,Cost Of Revenue,17034000000.0,NVDA,quarterly
2026-01-31,EBITDA,144552000000.0,NVDA,annual
2026-01-31,EBITDA,51283000000.0,NVDA,quarterly
2026-01-31,Gross Profit,153463000000.0,NVDA,annual
2026-01-31,Gross Profit,51093000000.0,NVDA,quarterly
2026-01-31,Net Income,120067000000.0,NVDA,annual
2026-01-31,Net Income,42960000000.0,NVDA,quarterly
2026-01-31,Operating Expense,23076000000.0,NVDA,annual
2026-01-31,Operating Expense,6794000000.0,NVDA,quarterly
2026-01-31,Operating Income,130387000000.0,NVDA,annual
2026-01-31,Operating Income,44299000000.0,NVDA,quarterly
2026-01-31,Total Revenue,215938000000.0,NVDA,annual
2026-01-31,Total Revenue,68127000000.0,NVDA,quarterly
2021-05-31,Basic EPS,,ORCL,annual
2021-05-31,Cost Of Revenue,,ORCL,annual
2021-05-31,EBITDA,,ORCL,annual
2021-05-31,Gross Profit,,ORCL,annual
2021-05-31,Net Income,,ORCL,annual
2021-05-31,Operating Expense,,ORCL,annual
2021-05-31,Operating Income,,ORCL,annual
2021-05-31,Total Revenue,,ORCL,annual
2022-05-31,Basic EPS,2.49,ORCL,annual
2022-05-31,Cost Of Revenue,8877000000.0,ORCL,annual
2022-05-31,EBITDA,13526000000.0,ORCL,annual
2022-05-31,Gross Profit,33563000000.0,ORCL,annual
2022-05-31,Net Income,6717000000.0,ORCL,annual
2022-05-31,Operating Expense,17733000000.0,ORCL,annual
2022-05-31,Operating Income,15830000000.0,ORCL,annual
2022-05-31,Total Revenue,42440000000.0,ORCL,annual
2023-05-31,Basic EPS,3.15,ORCL,annual
2023-05-31,Cost Of Revenue,13564000000.0,ORCL,annual
2023-05-31,EBITDA,18739000000.0,ORCL,annual
2023-05-31,Gross Profit,36390000000.0,ORCL,annual
2023-05-31,Net Income,8503000000.0,ORCL,annual
2023-05-31,Operating Expense,22617000000.0,ORCL,annual
2023-05-31,Operating Income,13773000000.0,ORCL,annual
2023-05-31,Total Revenue,49954000000.0,ORCL,annual
2024-05-31,Basic EPS,3.82,ORCL,annual
2024-05-31,Cost Of Revenue,15143000000.0,ORCL,annual
2024-05-31,EBITDA,21394000000.0,ORCL,annual
2024-05-31,Gross Profit,37818000000.0,ORCL,annual
2024-05-31,Net Income,10467000000.0,ORCL,annual
2024-05-31,Operating Expense,21747000000.0,ORCL,annual
2024-05-31,Operating Income,16071000000.0,ORCL,annual
2024-05-31,Total Revenue,52961000000.0,ORCL,annual
2024-11-30,Basic EPS,1.13,ORCL,quarterly
2024-11-30,Cost Of Revenue,,ORCL,quarterly
2024-11-30,EBITDA,,ORCL,quarterly
2024-11-30,Gross Profit,,ORCL,quarterly
2024-11-30,Net Income,,ORCL,quarterly
2024-11-30,Operating Expense,,ORCL,quarterly
2024-11-30,Operating Income,,ORCL,quarterly
2024-11-30,Total Revenue,,ORCL,quarterly
2025-02-28,Basic EPS,1.05,ORCL,quarterly
2025-02-28,Cost Of Revenue,4195000000.0,ORCL,quarterly
2025-02-28,EBITDA,5891000000.0,ORCL,quarterly
2025-02-28,Gross Profit,9935000000.0,ORCL,quarterly
2025-02-28,Net Income,2936000000.0,ORCL,quarterly
2025-02-28,Operating Expense,5486000000.0,ORCL,quarterly
2025-02-28,Operating Income,4449000000.0,ORCL,quarterly
2025-02-28,Total Revenue,14130000000.0,ORCL,quarterly
2025-05-31,Basic EPS,4.46,ORCL,annual
2025-05-31,Basic EPS,,ORCL,quarterly
2025-05-31,Cost Of Revenue,16927000000.0,ORCL,annual
2025-05-31,Cost Of Revenue,4741000000.0,ORCL,quarterly
2025-05-31,EBITDA,23912000000.0,ORCL,annual
2025-05-31,EBITDA,6826000000.0,ORCL,quarterly
2025-05-31,Gross Profit,40472000000.0,ORCL,annual
2025-05-31,Gross Profit,11162000000.0,ORCL,quarterly
2025-05-31,Net Income,12443000000.0,ORCL,annual
2025-05-31,Net Income,3427000000.0,ORCL,quarterly
2025-05-31,Operating Expense,22420000000.0,ORCL,annual
2025-05-31,Operating Expense,5971000000.0,ORCL,quarterly
2025-05-31,Operating Income,18052000000.0,ORCL,annual
2025-05-31,Operating Income,5191000000.0,ORCL,quarterly
2025-05-31,Total Revenue,57399000000.0,ORCL,annual
2025-05-31,Total Revenue,15903000000.0,ORCL,quarterly
2025-08-31,Basic EPS,1.04,ORCL,quarterly
2025-08-31,Cost Of Revenue,4884000000.0,ORCL,quarterly
2025-08-31,EBITDA,6121000000.0,ORCL,quarterly
2025-08-31,Gross Profit,10042000000.0,ORCL,quarterly
2025-08-31,Net Income,2927000000.0,ORCL,quarterly
2025-08-31,Operating Expense,5350000000.0,ORCL,quarterly
2025-08-31,Operating Income,4692000000.0,ORCL,quarterly
2025-08-31,Total Revenue,14926000000.0,ORCL,quarterly
2025-11-30,Basic EPS,2.14,ORCL,quarterly
2025-11-30,Cost Of Revenue,5374000000.0,ORCL,quarterly
